ssuid,shhadid,pnum,monthcode,aage,adob_bmonth,adob_byear,edob_bmonth,tage,tage_ehc,tdob_byear,eothsuprt1yn,eothsuprt2yn,apartotamt,tpartotamt,tkidtotamt,wpfinwgt,uid,supports_parents,supports_children,age_group,generation
114285765,11,101.0,12.0,1.0,1.0,1.0,8.0,37.0,37.0,1976.0,1.0,1.0,1.0,3000.0,3000.0,5047.522295407794,000114285765-101.0,True,True,30-39,Generation x
418172689,11,102.0,12.0,1.0,1.0,1.0,2.0,45.0,44.0,1969.0,1.0,2.0,1.0,4000.0,0.0,4707.165367240705,000418172689-102.0,True,False,40-49,Generation x
418995267,11,102.0,12.0,1.0,1.0,1.0,6.0,42.0,42.0,1971.0,1.0,2.0,1.0,2400.0,0.0,4342.7714489320615,000418995267-102.0,True,False,40-49,Generation x
860135194,11,102.0,12.0,1.0,1.0,1.0,7.0,44.0,44.0,1969.0,1.0,1.0,1.0,3000.0,10000.0,7208.649857808398,000860135194-102.0,True,True,40-49,Generation x
860135267,11,104.0,12.0,1.0,1.0,1.0,3.0,23.0,22.0,1991.0,1.0,2.0,1.0,19.0,0.0,9322.700081255563,000860135267-104.0,True,False,under 30,Millennials
860135267,11,105.0,12.0,1.0,1.0,1.0,4.0,19.0,19.0,1994.0,1.0,2.0,2.0,19.0,0.0,6956.059709861377,000860135267-105.0,True,False,under 30,Millennials
860135547,11,101.0,12.0,1.0,1.0,1.0,7.0,46.0,46.0,1967.0,1.0,2.0,1.0,2000.0,0.0,6193.438123136857,000860135547-101.0,True,False,40-49,Generation x
860135967,11,101.0,12.0,1.0,1.0,1.0,9.0,36.0,36.0,1977.0,1.0,2.0,1.0,12000.0,0.0,7326.019563928025,000860135967-101.0,True,False,30-39,Generation x
860136480,11,102.0,12.0,1.0,1.0,1.0,8.0,38.0,38.0,1975.0,1.0,2.0,1.0,10000.0,0.0,6756.268949772528,000860136480-102.0,True,False,30-39,Generation x
860136535,11,103.0,12.0,1.0,1.0,1.0,3.0,36.0,36.0,1977.0,1.0,2.0,1.0,2400.0,0.0,5899.345539783153,000860136535-103.0,True,False,30-39,Generation x
860136535,11,105.0,12.0,1.0,6.0,1.0,12.0,39.0,39.0,1974.0,1.0,2.0,1.0,200.0,0.0,5899.345539783153,000860136535-105.0,True,False,30-39,Generation x
860172801,11,101.0,12.0,1.0,1.0,1.0,8.0,45.0,45.0,1968.0,1.0,2.0,1.0,2500.0,0.0,7476.3145383926785,000860172801-101.0,True,False,40-49,Generation x
860256602,11,102.0,12.0,1.0,1.0,1.0,9.0,16.0,16.0,1997.0,1.0,2.0,2.0,500.0,0.0,7721.122633579998,000860256602-102.0,True,False,under 30,Gen Z
860552324,11,101.0,12.0,1.0,1.0,1.0,3.0,44.0,44.0,1969.0,1.0,2.0,1.0,5000.0,0.0,7063.313463090351,000860552324-101.0,True,False,40-49,Generation x
860648568,11,101.0,12.0,1.0,1.0,1.0,7.0,25.0,25.0,1988.0,1.0,2.0,1.0,6000.0,0.0,4632.420490278787,000860648568-101.0,True,False,under 30,Millennials
860816664,11,102.0,12.0,1.0,1.0,1.0,1.0,24.0,23.0,1990.0,1.0,2.0,1.0,1500.0,0.0,11383.073930611292,000860816664-102.0,True,False,under 30,Millennials
995199316,11,101.0,12.0,1.0,1.0,1.0,1.0,27.0,26.0,1987.0,1.0,2.0,1.0,125.0,0.0,5079.9013489585295,000995199316-101.0,True,False,under 30,Millennials
995552944,11,101.0,12.0,1.0,1.0,1.0,3.0,26.0,26.0,1987.0,1.0,2.0,1.0,5000.0,0.0,6375.138686253676,000995552944-101.0,True,False,under 30,Millennials
995860944,11,101.0,12.0,1.0,1.0,1.0,2.0,33.0,32.0,1981.0,1.0,2.0,1.0,8000.0,0.0,4678.563648833012,000995860944-101.0,True,False,30-39,Millennials
38114172765,11,101.0,12.0,1.0,1.0,1.0,10.0,41.0,41.0,1972.0,1.0,2.0,1.0,2500.0,0.0,2699.1247779542746,038114172765-101.0,True,False,40-49,Generation x
38274068278,11,101.0,12.0,1.0,1.0,1.0,7.0,18.0,18.0,1995.0,1.0,2.0,1.0,1560.0,0.0,7199.644647889294,038274068278-101.0,True,False,under 30,Millennials
38274068278,11,102.0,12.0,1.0,1.0,1.0,2.0,18.0,17.0,1996.0,1.0,2.0,2.0,1560.0,0.0,7199.644647889294,038274068278-102.0,True,False,under 30,Millennials
38274068278,11,103.0,12.0,1.0,1.0,1.0,10.0,22.0,22.0,1991.0,1.0,2.0,1.0,7000.0,0.0,9649.15922856952,038274068278-103.0,True,False,under 30,Millennials
38274068278,11,104.0,12.0,1.0,6.0,1.0,12.0,18.0,18.0,1995.0,1.0,2.0,1.0,7000.0,0.0,8186.004449704688,038274068278-104.0,True,False,under 30,Millennials
38285073509,11,105.0,12.0,1.0,1.0,1.0,10.0,31.0,31.0,1982.0,1.0,2.0,1.0,600.0,0.0,1999.0954416601653,038285073509-105.0,True,False,30-39,Millennials
38285073554,11,101.0,12.0,1.0,1.0,1.0,10.0,33.0,33.0,1980.0,1.0,2.0,1.0,3000.0,0.0,1775.6084582174374,038285073554-101.0,True,False,30-39,Generation x
38285274195,11,101.0,12.0,1.0,1.0,1.0,11.0,30.0,30.0,1983.0,1.0,2.0,1.0,1500.0,0.0,3863.211890829678,038285274195-101.0,True,False,30-39,Millennials
38285285916,11,101.0,12.0,1.0,1.0,1.0,6.0,44.0,44.0,1969.0,1.0,2.0,1.0,2500.0,0.0,5013.183264833028,038285285916-101.0,True,False,40-49,Generation x
38285302138,11,101.0,12.0,1.0,1.0,1.0,4.0,34.0,34.0,1979.0,1.0,2.0,1.0,1200.0,0.0,1229.208190948181,038285302138-101.0,True,False,30-39,Generation x
38285320762,11,102.0,12.0,1.0,1.0,1.0,6.0,63.0,62.0,1951.0,1.0,2.0,1.0,20.0,0.0,3182.9986044478997,038285320762-102.0,True,False,60 years and over,Boomer
38285527246,11,101.0,12.0,1.0,1.0,1.0,11.0,29.0,29.0,1984.0,1.0,2.0,1.0,2000.0,0.0,2624.243443812091,038285527246-101.0,True,False,under 30,Millennials
38285555074,11,102.0,12.0,1.0,1.0,1.0,11.0,38.0,38.0,1975.0,1.0,2.0,1.0,1000.0,0.0,8599.626588521016,038285555074-102.0,True,False,30-39,Generation x
38285597971,11,101.0,12.0,1.0,1.0,1.0,5.0,55.0,55.0,1958.0,1.0,2.0,1.0,7200.0,0.0,6453.144343644697,038285597971-101.0,True,False,50-59,Boomer
38285597971,11,102.0,12.0,1.0,1.0,1.0,11.0,57.0,57.0,1956.0,1.0,2.0,1.0,7200.0,0.0,6453.144343644697,038285597971-102.0,True,False,50-59,Boomer
38408334267,11,102.0,12.0,1.0,1.0,1.0,10.0,29.0,29.0,1984.0,1.0,2.0,1.0,1200.0,0.0,1614.1417723805002,038408334267-102.0,True,False,under 30,Millennials
38418204092,11,101.0,12.0,1.0,1.0,1.0,3.0,50.0,49.0,1964.0,1.0,2.0,2.0,2500.0,0.0,3077.153969367434,038418204092-101.0,True,False,50-59,Boomer
38418228999,11,101.0,12.0,1.0,1.0,1.0,2.0,26.0,25.0,1988.0,1.0,2.0,1.0,3000.0,0.0,2200.106729144295,038418228999-101.0,True,False,under 30,Millennials
38418285020,11,101.0,12.0,1.0,1.0,1.0,6.0,25.0,25.0,1988.0,1.0,1.0,1.0,2600.0,2600.0,8827.316577766218,038418285020-101.0,True,True,under 30,Millennials
38418408851,11,103.0,12.0,1.0,1.0,1.0,7.0,45.0,45.0,1968.0,1.0,2.0,2.0,12000.0,0.0,2333.491382873628,038418408851-103.0,True,False,40-49,Generation x
38418597120,11,101.0,12.0,1.0,1.0,1.0,10.0,30.0,30.0,1983.0,1.0,2.0,1.0,800.0,0.0,5390.934116747557,038418597120-101.0,True,False,30-39,Millennials
38418597120,11,102.0,12.0,1.0,1.0,1.0,9.0,28.0,28.0,1985.0,1.0,2.0,2.0,700.0,0.0,5390.934116747557,038418597120-102.0,True,False,under 30,Millennials
38418816020,11,102.0,12.0,1.0,1.0,1.0,3.0,47.0,46.0,1967.0,1.0,2.0,1.0,2400.0,0.0,8089.6793642990415,038418816020-102.0,True,False,40-49,Generation x
38418849538,11,101.0,12.0,1.0,1.0,1.0,7.0,39.0,39.0,1974.0,1.0,2.0,1.0,1200.0,0.0,8516.98155185637,038418849538-101.0,True,False,30-39,Generation x
38610597117,11,101.0,12.0,1.0,1.0,1.0,1.0,28.0,27.0,1986.0,1.0,2.0,1.0,1000.0,0.0,8608.430644563912,038610597117-101.0,True,False,under 30,Millennials
38610860117,11,101.0,12.0,1.0,1.0,1.0,5.0,65.0,65.0,1948.0,1.0,2.0,1.0,1000.0,0.0,6285.9195718872825,038610860117-101.0,True,False,60 years and over,Boomer
38816500061,11,101.0,12.0,1.0,1.0,1.0,9.0,48.0,48.0,1965.0,1.0,2.0,1.0,12000.0,0.0,2173.7797616367134,038816500061-101.0,True,False,40-49,Generation x
